id,mon_hoc,diem
52,Tiếng Anh,7.1
79,Toán,9.0
80,Ngữ văn,9.3
2,Toán,5.2
86,Ngữ văn,7.9
112,Toán,7.4
88,Vật lý,5.8
110,Toán,2.9
133,Ngữ văn,4.3
97,Vật lý,10.0
9013,Toán,7.6
126,Toán,5.2
103,Tiếng Anh,8.5
55,Toán,5.3
26,Vật lý,3.2
107,Toán,7.3
60,Ngữ văn,4.6
59,Toán,8.8
131,Toán,99.0
27,Toán,5.0
79,Ngữ văn,
105,Ngữ văn,5.0
109,Toán,5.8
136,Tiếng Anh,7.1
5,Toán,7.6
5,Vật lý,6.1
123,Vật Lý,4.9
30,Tiếng Anh,7.0
48,Vật lý,8.4
52,Ngữ văn,5.2
64,Tiếng Anh,8.5
56,Vật lý,5.3
116,Toán,5.8
99,Vật lý,4.7
96,Vật lý,4.8
98,Vật lý,10.0
46,Tiếng Anh,99.0
89,Vật lý,15.0
51,Toán,6.5
50,Tiếng Anh,6.7
108,Ngữ văn,7.7
50,Toán,7.5
105,Toán,5.6
122,Vật lý,5.6
41,Vật lý,6.1
119,Ngữ văn,4.4
7,Vật lý,5.6
78,Toán,5.1
94,Ngữ văn,4.8
83,Tiếng Anh,6.1
106,Ngữ văn,8.0
132,Toán,7.0
126,Tiếng Anh,7.5
32,Tiếng Anh,4.9
67,Toán,7.8
77,Tiếng Anh,7.0
98,Ngữ văn,6.9
42,Vật lý,6.0
12,Ngữ văn,7.2
98,Tiếng Anh,4.7
117,Toán,7.1
105,Vật lý,
102,Vật lý,6.5
84,Vật lý,99.0
40,Vật lý,6.3
60,Toán,5.5
59,Tiếng Anh,7.1
17,Vật lý,5.8
9,Tiếng Anh,5.8
95,Ngữ văn,6.1
48,Tiếng Anh,7.4
140,Vật lý,7.2
11,Vật lý,6.4
93,Ngữ văn,8.9
63,Tiếng Anh,5.9
124,Vật lý,6.7
35,Tiếng Anh,4.2
69,Tiếng Anh,4.7
20,Toán,9.5
9003,Tiếng Anh,3.4
38,Toán,10.0
95,Tiếng Anh,5.4
9002,Toán,6.1
128,Ngữ văn,7.8
6,Toán,5.3
46,Toán,5.1
65,Vật lý,
15,Vật lý,9.7
9014,Toán,7.8
14,Ngữ văn,7.2
136,Vật lý,6.7
38,Ngu Van,
140,Ngữ văn,3.1
104,Vật lý,7.2
138,Tiếng Anh,5.0
67,Vật lý,5.1
74,Toán,6.7
101,Ngữ văn,
47,Ngu Van,5.0
113,Vật lý,7.2
56,Toán,7.3
40,Ngữ văn,6.6
10,Vật lý,4.4
139,Vật lý,6.2
9004,Toán,7.3
133,Tiếng Anh,4.7
77,Vật lý,8.5
125,Ngữ văn,4.9
106,Toán,7.3
109,Vật lý,8.1
65,Toán,6.1
16,Tiếng Anh,4.0
35,Toán,4.7
82,Ngữ văn,15.0
131,Tiếng Anh,5.8
45,Ngữ văn,6.0
2,Ngữ văn,9.9
62,Tiếng Anh,5.8
43,Ngữ văn,6.9
75,Toán,5.0
45,Toán,7.9
103,Ngữ văn,9.8
19,Tiếng Anh,9.4
22,Toán,5.8
116,Vật lý,4.9
9001,Ngữ văn,8.0
57,Vật lý,7.5
24,Toán,6.2
113,Ngữ văn,8.6
134,Tiếng Anh,5.8
51,Vật lý,-1.0
18,Vật lý,5.7
17,Tiếng Anh,5.0
58,Toán,5.4
9000,Toán,4.4
9009,Ngữ văn,3.4
7,Toán,4.1
85,Tiếng Anh,6.7
108,Toán,4.7
73,Tiếng Anh,8.8
129,Ngữ văn,5.4
97,Toán,4.0
130,Vật lý,0.7
71,Ngữ văn,6.7
139,Ngữ văn,6.1
45,Tiếng Anh,6.4
87,Vật lý,
135,Ngữ văn,7.5
1,Ngữ văn,7.0
130,Tiếng Anh,6.2
47,Tiếng Anh,5.6
72,Vật lý,8.1
39,Vật lý,7.8
37,Tiếng Anh,6.4
123,Toán,9.5
130,Toán,5.1
94,Toán,5.4
108,Vật lý,7.1
128,Toán,3.3
81,Toán,8.1
46,Vật lý,9.2
33,Toán,7.5
55,Tiếng Anh,8.9
41,Toán,6.2
92,Ngữ văn,6.4
138,Ngữ văn,5.6
115,Tiếng Anh,5.7
3,Tiếng Anh,5.8
100,Ngữ văn,7.1
86,Tiếng Anh,7.2
35,Ngữ văn,6.2
72,Ngữ văn,3.9
135,Vật lý,5.5
97,Tiếng Anh,6.4
114,Toán,5.8
137,Tiếng Anh,4.4
88,Toán,8.6
34,Ngữ văn,9.8
123,Tiếng Anh,6.8
64,Toán,3.8
66,Vật lý,5.4
69,Toán,5.8
86,Vật lý,7.3
19,Toán,5.2
111,Tiếng Anh,6.5
6,Ngữ văn,8.0
112,Tiếng Anh,9.3
72,Tiếng Anh,7.3
119,Toán,5.1
132,Vật lý,5.8
136,Tiếng Anh,7.7
14,Toán,
110,Tiếng Anh,4.2
5,Ngữ văn,6.5
55,Ngữ văn,5.2
124,Ngữ văn,3.5
79,Vật lý,5.0
4,Ngữ văn,7.9
30,Toán,6.9
15,Toán,5.6
117,Tiếng Anh,6.3
31,Ngữ văn,7.7
120,Ngữ văn,8.8
37,Ngữ văn,6.6
22,Vật lý,8.6
75,Ngữ văn,6.3
53,Tiếng Anh,
113,Tiếng Anh,9.0
28,Toán,3.9
99,Toán,6.2
36,Tiếng Anh,7.4
83,Vật lý,5.0
74,Vật lý,
110,Vật lý,5.7
117,Vật lý,9.2
115,Toán,7.2
64,Ngữ văn,7.6
23,Ngữ văn,9.3
100,Toán,6.4
43,Ngữ văn,6.8
87,Ngữ văn,6.0
39,Toán,5.1
120,Tiếng Anh,8.6
96,Ngữ văn,7.5
129,Tiếng Anh,5.6
37,Toán,7.0
53,Toán,5.5
121,Ngữ văn,5.2
66,Toán,6.9
9012,Toán,7.8
9010,Vật lý,7.7
40,Toán,7.1
121,Vật lý,5.4
11,Tiếng Anh,6.8
121,Tiếng Anh,8.4
139,Toán,
49,Ngữ văn,5.2
19,Ngữ văn,5.9
56,Ngữ văn,5.9
61,Tiếng Anh,3.6
77,Toán,4.9
127,Ngữ văn,6.7
95,Toán,10.0
31,Toán,6.3
4,Vật lý,6.9
28,Ngữ văn,
69,Ngữ văn,5.2
34,Tiếng Anh,
49,Toán,6.0
78,Ngữ văn,5.2
58,Ngữ văn,5.1
121,Toán,9.2
62,Ngữ văn,6.9
68,Ngữ văn,8.4
104,Ngữ văn,5.4
127,Tiếng Anh,6.3
59,Ngữ văn,4.1
81,Vật lý,7.4
133,Toán,10.0
5,Tiếng Anh,7.7
80,Toán,6.8
47,Vật lý,6.3
83,Toán,6.4
22,Ngữ văn,6.4
45,Vật lý,5.8
76,Ngữ văn,7.0
28,Tiếng Anh,5.6
29,Vật lý,5.5
122,Ngữ văn,8.0
91,Ngữ văn,5.9
126,Vật lý,7.2
23,Toán,7.7
99,Tiếng Anh,7.1
27,Ngữ văn,7.0
108,Vật lý,7.4
43,Tiếng Anh,6.2
6,Tiếng Anh,8.1
59,Vật lý,3.9
