ngay,san_pham,khu_vuc,so_luong,don_gia,doanh_thu
2023-02-10,Muối,Gia Lai,67.0,49697.0,3329699.0
2024-07-25,Muối,Phú Yên,66.0,203326.0,13419516.0
2024-02-27,Gạo,Đắk Lắk,57.0,24277.0,1383789.0
 26/01/2023 ,Rượu cần,Bình Định,37.0,182574.0,6755238.0
2024-09-16,Thổ cẩm,Phú Yên,31.0,76451.0,2369981.0
2023-10-18,Rượu cần,đắk lắk,38.0,152857.0,5808566.0
2023-05-07,Thổ cẩm,Gia Lai,80.0,340047.0,27203760.0
2023-04-05,Rượu cần,Kon Tum,50.0,46118.0,2305900.0
2023-04-07,Mật ong rừng,Bình Định,1.0,165303.0,165303.0
2024-07-30,Gùi mây,Kon Tum,56.0,83729.0,4688824.0
2024-06-24,Muối,Phú Yên,45.0,21587.0,971415.0
2024-04-05,Rượu cần,gia lai,85.0,226146.0,19222410.0
2024-07-27,Cà phê,Kon Tum,64.0,176334.0,11285376.0
2023-05-08,Muối,Phú Yên,60.0,174519.0,10471140.0
2023-09-01,Gạo,Gia Lai,47.0,293339.0,13786933.0
2023-08-17,Đường,Kon Tum,39.0,255729.0,9973431.0
2024-05-09,Muối,Kon Tum,52.0,244786.0,12728872.0
2023-01-04,Cà phê,Bình Định,83.0,71272.0,5915576.0
2024-09-23,Cà phê,Đắk Lắk,36.0,264670.0,9528120.0
2023-11-26,Rượu cần,Kon Tum,1.0,252859.0,252859.0
2023-12-05,Muối,Đắk Lắk,25.0,102770.0,2569250.0
2023-04-27,Thổ cẩm,kon tum,62.0,177886.0,11028932.0
2024-08-07,Muối,Gia Lai,43.0,152665.0,6564595.0
2024-08-07,Gùi mây,Bình Định,77.0,308670.0,23767590.0
2024-06-18,Đường,Đắk Lắk,53.0,161078.0,8537134.0
2024-04-03,Gùi mây,Gia Lai,52.0,258821.0,458122246.7781461
2024-12-09,Muối,Kon Tum,35.0,98066.0,3432310.0
2024-03-08,Gùi mây,Bình Định,37.0,68731.0,2543047.0
2024-11-27,Gạo,Phú Yên,81.0,163593.0,13251033.0
2024-10-04,Muối,Phú Yên,59.0,139961.0,8257699.0
2024-01-20,Cà phê,Bình Định,58.0,217413.0,12609954.0
2023-09-06,Đường,Kon Tum,53.0,319766.0,16947598.0
2023-07-10,Gùi mây,Đắk Lắk,65.0,314954.0,20472010.0
2023-07-30,Đường,Bình Định,22.0,314711.0,6923642.0
2023-07-30,Muối,Đắk Lắk,54.0,265580.0,14341320.0
2024-08-12,Muối,Bình Định,17.0,191989.0,3263813.0
2024-03-26,Cà phê,Đắk Lắk,66.0,345950.0,22832700.0
2023-11-21,Gạo,Bình Định,41.0,288297.0,11820177.0
2024-11-13,Muối,Gia Lai,22.0,72493.0,1594846.0
2023-10-31,Cà phê,Bình Định,63.0,224371.0,14135373.0
2024-01-14,Muối,Đắk Lắk,78.0,112781.0,161083201.21831357
2024-04-28,Muối,Phú Yên,61.0,108720.0,6631920.0
2023-12-17,Gạo,Đắk Lắk,58.0,200811.0,11647038.0
2024-11-11,Cà phê,Kon Tum,,230525.0,17058850.0
2024-09-22,Mật ong rừng,Bình Định,69.0,204337.0,14099253.0
2024-05-29,Rượu cần,Phú Yên,63.0,207554.0,13075902.0
2023-10-12,Mật ong rừng,Đắk Lắk,43.0,339956.0,14618108.0
17/01/2024,Cà phê,Đắk Lắk,36.0,320545.0,11539620.0
2024-05-24,Gùi mây,Đắk Lắk,67.0,337536.0,22614912.0
2024-01-21,Mật ong rừng,Đắk Lắk,37.0,120150.0,4445550.0
2023-03-06,Mật ong rừng,Kon Tum,33.0,302332.0,9976956.0
2023-09-23,Gạo,Phú Yên,52.0,257856.0,13408512.0
2024-04-23,Mật ong rừng,Bình Định,66.0,196741.0,12984906.0
2024-11-18,Mật ong rừng,Phú Yên,56.0,254800.0,14268800.0
2023-09-12,Mật ong rừng,Kon Tum,84.0,108947.0,9151548.0
2024-02-15,Muối,Gia Lai,47.0,124360.0,5844920.0
2023-03-04,Mật ong rừng,Đắk Lắk,27.0,265161.0,7159347.0
2024-06-17,Gạo,Gia Lai,71.0,26408.0,1874968.0
2024-07-19,Cà phê,Gia Lai,40.0,68042.0,2721680.0
2023-04-21,Gùi mây,Gia Lai,47.0,146237.0,6873139.0
2023-06-28,Gạo,Bình Định,53.0,162726.0,8624478.0
2024-04-19,Thổ cẩm,Phú Yên,64.0,229910.0,14714240.0
2024-12-13,Cà phê,Kon Tum,,201621.0,17742648.0
2024-09-13,Gạo,Gia Lai,37.0,338053.0,12507961.0
2023-01-16,Thổ cẩm,Gia Lai,50.0,31902.0,1595100.0
2024-11-20,Gùi mây,Kon Tum,91.0,218596.0,19892236.0
2024-10-02,Thổ cẩm,Đắk Lắk,36.0,230855.0,8310780.0
2023-08-08,Muối,Kon Tum,50.0,250482.0,12524100.0
2023-06-28,Gạo,Đắk Lắk,41.0,203243.0,8332963.0
2023-02-13,Gùi mây,Gia Lai,60.0,308290.0,18497400.0
2023-06-23,Cà phê,Kon Tum,41.0,284794.0,11676554.0
2023-11-10,Mật ong rừng,Bình Định,59.0,238473.0,14069907.0
2024-09-21,Gùi mây,Phú Yên,46.0,345609.0,15898014.0
2023-08-29,Cà phê,Bình Định,81.0,260462.0,21097422.0
2024-10-07,Gạo,Đắk Lắk,60.0,136384.0,8183040.0
2023-12-10,Muối,Kon Tum,47.0,62713.0,2947511.0
2024-02-18,Muối,Phú Yên,74.0,260694.0,19291356.0
2024-05-25,Gạo,Kon Tum,34.0,208863.0,7101342.0
2024-11-24,Mật ong rừng,Kon Tum,26.0,60648.0,1576848.0
2024-10-29,Đường,Bình Định,65.0,106078.0,6895070.0
2024-06-02,Đường,Kon Tum,45.0,140600.0,6327000.0
2024-06-02,Cà phê,Kon Tum,73.0,71292.0,5204316.0
2024-01-17,Đường,Gia Lai,69.0,54914.0,3789066.0
2024-04-19,Mật ong rừng,Gia Lai,25.0,164835.0,4120875.0
2023-07-09,Thổ cẩm,Phú Yên,1.0,73263.0,73263.0
2024-12-08,Gùi mây,Phú Yên,44.0,70325.0,3094300.0
2024-02-21,Đường,Kon Tum,36.0,303962.0,10942632.0
2024-06-15,Muối,Kon Tum,58.0,319270.0,18517660.0
2023-09-03,Cà phê,Phú Yên,51.0,230151.0,11737701.0
2024-07-13,Gùi mây,Bình Định,82.0,318874.0,
2023-04-12,Mật ong rừng,Gia Lai,32.0,27772.0,888704.0
2023-02-05,Mật ong rừng,Đắk Lắk,88.0,213922.0,18825136.0
2024-06-16,Đường,Gia Lai,,140125.0,8267375.0
2023-04-29,Muối,Đắk Lắk,55.0,154831.0,8515705.0
2023-11-08,Thổ cẩm,Bình Định,44.0,335003.0,14740132.0
2023-02-26,Gạo,Gia Lai,42.0,95651.0,4017342.0
2023-06-29,Gùi mây,Gia Lai,61.0,316589.0,19311929.0
2024-04-15,Gạo,Kon Tum,63.0,232241.0,14631183.0
2024-05-20,Cà phê,Phú Yên,9.0,105143.0,946287.0
2023-06-24,Gạo,Phú Yên,59.0,69866.0,4122094.0
2024-08-16,Muối,Gia Lai,44.0,178837.0,7868828.0
2024-08-05,Cà phê,Bình Định,52.0,193744.0,10074688.0
2024-10-18,Thổ cẩm,Đắk Lắk,65.0,341525.0,22199125.0
2023-12-21,Rượu cần,Bình Định,35.0,260732.0,9125620.0
2023-05-31,Cà phê,Kon Tum,76.0,24917.0,1893692.0
2023-05-14,Đường,Bình Định,31.0,24367.0,755377.0
2024-07-30,Mật ong rừng,đắk lắk,27.0,93581.0,2526687.0
2024-04-12,Rượu cần,Bình Định,57.0,137855.0,7857735.0
2024-12-16,Muối,Đắk Lắk,52.0,287400.0,14944800.0
2024-11-14,Gùi mây,Phú Yên,54.0,73619.0,3975426.0
2023-11-05,Muối,Đắk Lắk,18.0,148742.0,2677356.0
2023-01-07,Thổ cẩm,Phú Yên,9.0,133584.0,1202256.0
2023-10-30,Muối,Đắk Lắk,57.0,323606.0,
2023-06-10,Gùi mây,Phú Yên,49.0,126054.0,6176646.0
2024-12-20,Mật ong rừng,Bình Định,47.0,183225.0,8611575.0
2023-12-09,Thổ cẩm,Kon Tum,54.0,291684.0,15750936.0
2023-10-06,Thổ cẩm,gia lai,47.0,308521.0,14500487.0
2023-07-21,Cà phê,Bình Định,47.0,274315.0,12892805.0
2023-10-26,Mật ong rừng,Đắk Lắk,37.0,252755.0,9351935.0
2023-09-28,Thổ cẩm,Gia Lai,79.0,269566.0,21295714.0
2024-11-19,Đường,Kon Tum,68.0,241340.0,16411120.0
2023-12-04,Rượu cần,Kon Tum,68.0,323104.0,21971072.0
2024-04-13,Đường,Phú Yên,62.0,180664.0,11201168.0
2023-05-10,Cà phê,Kon Tum,38.0,137729.0,5233702.0
2023-11-20,Đường,Kon Tum,46.0,36364.0,1672744.0
2023-07-15,Rượu cần,Bình Định,52.0,94388.0,4908176.0
2023-09-07,Cà phê,Kon Tum,68.0,145805.0,9914740.0
2023-11-05,Thổ cẩm,Phú Yên,66.0,210011.0,13860726.0
2023-09-14,Đường,Gia Lai,78.0,215458.0,16805724.0
2023-12-31,Rượu cần,Bình Định,38.0,141868.0,5390984.0
2023-06-17,Mật ong rừng,Phú Yên,49.0,347227.0,17014123.0
2024-04-21,Mật ong rừng,Phú Yên,61.0,322130.0,19649930.0
2023-05-05,Gạo,Phú Yên,39.0,312944.0,12204816.0
2023-01-16,Thổ cẩm,Kon Tum,45.0,110843.0,4987935.0
2023-10-04,Mật ong rừng,Phú Yên,37.0,53818.0,1991266.0
2024-06-09,Rượu cần,Đắk Lắk,63.0,290226.0,18284238.0
2023-02-27,Thổ cẩm,Đắk Lắk,30.0,223631.0,6708930.0
2023-07-24,Muối,Bình Định,42.0,136688.0,5740896.0
2023-07-07,Gạo,Phú Yên,38.0,205118.0,7794484.0
2023-01-09,Rượu cần,Bình Định,42.0,306383.0,12868086.0
2023-12-06,Gùi mây,Gia Lai,78.0,113132.0,8824296.0
2023-02-08,Thổ cẩm,Kon Tum,59.0,267843.0,15802737.0
2023-10-16,Mật ong rừng,Đắk Lắk,40.0,272525.0,10901000.0
2024-12-15,Đường,Bình Định,17.0,326418.0,5549106.0
2023-10-13,Đường,Bình Định,38.0,248365.0,9437870.0
2024-04-07,Thổ cẩm,Phú Yên,68.0,173040.0,11766720.0
2024-04-26,Rượu cần,Kon Tum,52.0,171213.0,8903076.0
2024-01-16,Rượu cần,Phú Yên,87.0,203176.0,17676312.0
2023-02-12,Gùi mây,Đắk Lắk,65.0,182297.0,11849305.0
2024-08-03,Rượu cần,Kon Tum,33.0,127954.0,4222482.0
2024-02-17,Muối,Bình Định,57.0,123216.0,7023312.0
2024-01-15,Mật ong rừng,Phú Yên,42.0,210685.0,8848770.0
2024-05-20,Đường,Bình Định,44.0,101210.0,4453240.0
2024-01-17,Thổ cẩm,Đắk Lắk,49.0,197249.0,9665201.0
2024-09-02,Gạo,Phú Yên,58.0,253887.0,14725446.0
2023-01-24,Gạo,Phú Yên,68.0,15567.0,1058556.0
2024-05-12,Cà phê,Kon Tum,78.0,146275.0,11409450.0
2024-11-03,Gạo,Kon Tum,11.0,202838.0,2231218.0
2023-04-08,Mật ong rừng,Phú Yên,43.0,62458.0,2685694.0
2024-11-08,Rượu cần,Đắk Lắk,36.0,281859.0,10146924.0
2023-07-19,Cà phê,Gia Lai,47.0,147173.0,6917131.0
2023-05-19,Gạo,Đắk Lắk,26.0,315147.0,8193822.0
2023-03-12,Thổ cẩm,Kon Tum,70.0,207410.0,14518700.0
2024-09-17,Đường,Kon Tum,57.0,291290.0,16603530.0
2023-01-07,Gạo,Bình Định,74.0,320836.0,23741864.0
2024-11-02,Rượu cần,Bình Định,17.0,175138.0,2977346.0
2023-09-23,Mật ong rừng,Kon Tum,25.0,218978.0,5474450.0
2024-07-27,Rượu cần,Gia Lai,86.0,50210.0,4318060.0
2024-03-09,Đường,Phú Yên,33.0,246171.0,8123643.0
2023-04-28,Mật ong rừng,Phú Yên,75.0,207173.0,15537975.0
2023-11-21,Đường,Phú Yên,29.0,64168.0,1860872.0
2023-05-29,Đường,Phú Yên,15.0,100181.0,1502715.0
2023-03-09,Cà phê,Bình Định,41.0,204915.0,8401515.0
2023-05-15,Muối,Bình Định,61.0,260109.0,15866649.0
2023-08-03,Đường,Kon Tum,66.0,68588.0,4526808.0
2024-07-30,Muối,Đắk Lắk,44.0,36467.0,1604548.0
2024-12-30,Thổ cẩm,Kon Tum,72.0,131900.0,9496800.0
2024-07-17,Rượu cần,Đắk Lắk,40.0,293320.0,11732800.0
2023-02-25,Gạo,Đắk Lắk,106.0,110324.0,11694344.0
2023-09-16,Gùi mây,Phú Yên,46.0,170475.0,7841850.0
2023-05-24,Đường,Bình Định,41.0,169220.0,6938020.0
2024-12-13,Mật ong rừng,Phú Yên,55.0,144805.0,7964275.0
07/11/2023,Mật ong rừng,Phú Yên,43.0,73309.0,75158856.58365251
2024-07-15,Gùi mây,Phú Yên,51.0,298379.0,15217329.0
2023-11-06,Thổ cẩm,Kon Tum,69.0,246041.0,16976829.0
2023-09-24,Đường,Phú Yên,46.0,145442.0,6690332.0
2023-05-03,Muối,Bình Định,15.0,227455.0,3411825.0
2024-06-11,Gạo,Đắk Lắk,20.0,153229.0,3064580.0
2023-01-19,Mật ong rừng,Đắk Lắk,35.0,132123.0,4624305.0
2024-05-25,Thổ cẩm,Gia Lai,25.0,45526.0,1138150.0
2023-02-15,Muối,Bình Định,18.0,56854.0,1023372.0
2023-01-29,Thổ cẩm,Kon Tum,37.0,224372.0,8301764.0
2024-08-19,Cà phê,Gia Lai,38.0,119623.0,4545674.0
2023-03-24,Gùi mây,Đắk Lắk,49.0,102879.0,5041071.0
2023-06-03,Rượu cần,Gia Lai,33.0,58799.0,1940367.0
2024-04-23,Đường,Bình Định,45.0,76268.0,3432060.0
2023-09-20,Thổ cẩm,Bình Định,52.0,298756.0,15535312.0
2023-09-01,Cà phê,Đắk Lắk,73.0,233091.0,17015643.0
2023-09-28,Gạo,Đắk Lắk,1.0,71114.0,71114.0
2024-09-28,Thổ cẩm,Đắk Lắk,93.0,167366.0,15565038.0
2023-06-07,Muối,Đắk Lắk,43.0,126799.0,5452357.0
2023-07-20,Cà phê,Bình Định,50.0,75773.0,3788650.0
2023-06-26,Thổ cẩm,Kon Tum,60.0,305211.0,18312660.0
2023-06-22,Cà phê,Đắk Lắk,49.0,59267.0,2904083.0
2023-01-30,Cà phê,Đắk Lắk,47.0,164750.0,7743250.0
2024-06-16,Gùi mây,Phú Yên,56.0,129152.0,7232512.0
2024-01-10,Rượu cần,Gia Lai,30.0,346716.0,10401480.0
2024-01-28,Thổ cẩm,Bình Định,41.0,126808.0,5199128.0
2023-08-06,Thổ cẩm,Đắk Lắk,72.0,117174.0,8436528.0
2024-01-05,Đường,Kon Tum,80.0,25113.0,2009040.0
28/05/2023,Thổ cẩm,Đắk Lắk,5.0,162269.0,811345.0
2023-09-13,Gùi mây,Đắk Lắk,-60.0,169432.0,10165920.0
2024-10-10,Cà phê,Gia Lai,46.0,90999.0,4185954.0
2023-03-01,Cà phê,Đắk Lắk,70.0,188589.0,13201230.0
2023-12-12,Muối,Kon Tum,46.0,56531.0,2600426.0
2023-04-09,Cà phê,Bình Định,74.0,279522.0,20684628.0
25/08/2024,Gùi mây,Phú Yên,23.0,103122.0,2371806.0
2024-11-24,Gùi mây,Đắk Lắk,49.0,149321.0,7316729.0
2023-06-14,Cà phê,Đắk Lắk,49.0,78517.0,3847333.0
2024-02-13,Thổ cẩm,Phú Yên,63.0,348593.0,21961359.0
2023-01-16,Đường,Kon Tum,56.0,270283.0,15135848.0
2023-09-12,Gạo,Kon Tum,24.0,244204.0,5860896.0
2024-10-19,Thổ cẩm,Đắk Lắk,21.0,258396.0,5426316.0
2023-09-09,Gùi mây,Gia Lai,46.0,43216.0,1987936.0
2023-12-15,Đường,Bình Định,43.0,88188.0,3792084.0
2024-03-19,Thổ cẩm,Đắk Lắk,37.0,344721.0,12754677.0
2023-12-28,Gạo,Đắk Lắk,75.0,122520.0,9189000.0
2024-11-08,Đường,Kon Tum,82.0,296171.0,24286022.0
2024-05-23,Gùi mây,Kon Tum,66.0,247592.0,16341072.0
2023-11-05,Thổ cẩm,Phú Yên,66.0,210011.0,13860726.0
2024-02-15,Gùi mây,Kon Tum,44.0,333325.0,14666300.0
2024-06-16,Gạo,Đắk Lắk,54.0,17230.0,930420.0
2023-04-27,Thổ cẩm,Bình Định,32.0,94732.0,3031424.0
2023-07-17,Gùi mây,Kon Tum,62.0,25463.0,1578706.0
2024-06-30,Gạo,Gia Lai,31.0,204270.0,6332370.0
2023-06-25,Rượu cần,Gia Lai,56.0,247781.0,13875736.0
 22/06/2024 ,Cà phê,Gia Lai,32.0,144931.0,4637792.0
2024-07-21,Muối,Gia Lai,43.0,254108.0,10926644.0
2023-12-20,Đường,Kon Tum,25.0,135864.0,3396600.0
2024-07-26,Rượu cần,Đắk Lắk,34.0,85182.0,2896188.0
2023-09-12,Gạo,Phú Yên,32.0,317043.0,10145376.0
2023-04-06,Mật ong rừng,Đắk Lắk,41.0,75854.0,3110014.0
2023-11-15,Muối,Phú Yên,46.0,202381.0,9309526.0
2023-01-14,Rượu cần,Đắk Lắk,88.0,141374.0,12440912.0
2024-02-29,Thổ cẩm,Phú Yên,69.0,57338.0,3956322.0
2023-01-25,Đường,Gia Lai,54.0,206155.0,
2023-05-07,Đường,Bình Định,57.0,316648.0,18048936.0
2024-03-15,Thổ cẩm,Đắk Lắk,79.0,288739.0,22810381.0
2024-05-20,Thổ cẩm,Bình Định,38.0,297944.0,11321872.0
2023-07-25,Mật ong rừng,Gia Lai,80.0,138693.0,11095440.0
2024-02-09,Gùi mây,Bình Định,52.0,76891.0,3998332.0
2024-06-16,Đường,Phú Yên,-62.0,74064.0,4591968.0
2024-10-20,Muối,Kon Tum,28.0,314158.0,8796424.0
2024-03-17,Mật ong rừng,Đắk Lắk,39.0,67823.0,2645097.0
2024-08-10,Cà phê,Đắk Lắk,62.0,234863.0,14561506.0
2023-12-27,Rượu cần,Gia Lai,38.0,147948.0,5622024.0
2023-12-02,Cà phê,Bình Định,-72.0,251129.0,18081288.0
2023-02-23,Cà phê,Bình Định,44.0,334340.0,14710960.0
2023-06-30,Cà phê,Gia Lai,52.0,127324.0,6620848.0
2024-08-20,Đường,Kon Tum,30.0,118019.0,3540570.0
2024-12-02,Muối,Kon Tum,39.0,122419.0,4774341.0
2024-05-26,Rượu cần,Kon Tum,53.0,267997.0,14203841.0
2024-12-09,Muối,Bình Định,39.0,184305.0,7187895.0
2024-04-14,Mật ong rừng,Đắk Lắk,87.0,90107.0,7839309.0
2023-06-09,Gùi mây,Kon Tum,79.0,285573.0,22560267.0
2023-07-27,Thổ cẩm,Đắk Lắk,29.0,23513.0,681877.0
2024-05-20,Thổ cẩm,Đắk Lắk,68.0,313221.0,21299028.0
2023-04-28,Gùi mây,Phú Yên,52.0,294820.0,15330640.0
2024-10-07,Thổ cẩm,Phú Yên,17.0,79822.0,1356974.0
2023-06-18,Đường,Phú Yên,39.0,347609.0,13556751.0
2023-08-11,Muối,Bình Định,91.0,38578.0,3510598.0
